,text,labels
10,Cardiac catheterization was performed and revealed normal coronary arteries .,O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O O O O O B-Lab_value Lab_value B-Biological_structure Biological_structure I-Biological_structure Biological_structure O
11,"On day 4 of the coronary care unit admission , the patient failed a repeat attempt at extubation .",O B-Date Date I-Date Date I-Date Date O O O O B-Nonbiological_location Nonbiological_location I-Nonbiological_location Nonbiological_location I-Nonbiological_location Nonbiological_location B-Clinical_event Clinical_event O O O O O O B-Clinical_event Clinical_event O O O O O O O O B-Therapeutic_procedure Therapeutic_procedure O
12,A computed tomographic scan revealed a 4 cm × 9 cm multinodular goiter extending into the mediastinum and suspected associated tracheal stenosis ( Figure 3 ) .,O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O O O B-Area Area I-Area Area I-Area Area I-Area Area I-Area Area B-Detailed_description Detailed_description B-Disease_disorder Disease_disorder O O O O O O B-Biological_structure Biological_structure O O O O O O B-Biological_structure Biological_structure B-Sign_symptom Sign_symptom O O O O O O O O O
13,"With a diagnosis of NPPE secondary to an enlarged goiter , the patient underwent surgical intervention for a thyroidectomy .",O O O O O O O O O B-Disease_disorder Disease_disorder O O O O O O B-Severity Severity B-Disease_disorder Disease_disorder O O O O O O O O B-Therapeutic_procedure Therapeutic_procedure I-Therapeutic_procedure Therapeutic_procedure O O O O B-Therapeutic_procedure Therapeutic_procedure O
14,Intraoperative bronchoscopy revealed tracheal stenosis of greater than 50 % .,O B-Detailed_description Detailed_description B-Diagnostic_procedure Diagnostic_procedure O O B-Biological_structure Biological_structure B-Sign_symptom Sign_symptom O O B-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value O
15,"The postoperative course was uncomplicated , and three months following discharge , the patient returned to her previous activity level without subjective dyspnea .",O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value O O O O B-Date Date I-Date Date I-Date Date B-Clinical_event Clinical_event O O O O O O B-Outcome Outcome O O O O B-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description O O O O B-Sign_symptom Sign_symptom O
16,"A 19 - year - old man presented at the emergency department , 12 h after insertion of a high pressure container with tanning spray into his rectum .",O O O B-Age Age I-Age Age I-Age Age I-Age Age I-Age Age B-Sex Sex B-Clinical_event Clinical_event O O O O B-Nonbiological_location Nonbiological_location I-Nonbiological_location Nonbiological_location O O B-Time Time I-Time Time I-Time Time B-Activity Activity O O O O B-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description O O O O O O O O O O B-Biological_structure Biological_structure O
17,A plain abdominal radiograph ( Figure 1 ) showed the container in the rectosigmoid region .,O O O B-Detailed_description Detailed_description B-Biological_structure Biological_structure B-Diagnostic_procedure Diagnostic_procedure O O O O O O O O O O O O B-Sign_symptom Sign_symptom O O O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure O
18,There were no signs of perforation .,O O O O O O O O O O O B-Disease_disorder Disease_disorder O
19,A flexible sigmoidoscopy was performed under conscious sedation .,O O O B-Detailed_description Detailed_description B-Diagnostic_procedure Diagnostic_procedure O O O O O O B-Medication Medication I-Medication Medication O
20,The object was located just above the rectosigmoid junction .,O O O B-Sign_symptom Sign_symptom O O O O O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure O
21,The container could not be extracted by bimanual manipulation .,O O O B-Coreference Coreference O O O O O O B-Therapeutic_procedure Therapeutic_procedure O O B-Therapeutic_procedure Therapeutic_procedure I-Therapeutic_procedure Therapeutic_procedure O
22,"An attempt to remove the object with conventional endoscopic instruments , such as polypectomy snares , was unsuccessful .",O O O O O O O B-Therapeutic_procedure Therapeutic_procedure O O B-Coreference Coreference O O B-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description O O O O O O B-Detailed_description Detailed_description I-Detailed_description Detailed_description O O O O B-Lab_value Lab_value O
23,The sigmoidoscope could be passed alongside the foreign body to its proximal end .,O O O B-Diagnostic_procedure Diagnostic_procedure O O O O O O O O O O B-Coreference Coreference I-Coreference Coreference O O O O O O O O O
24,A guide wire was left behind with the sigmoidoscope removed .,O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O O O O O O O B-Diagnostic_procedure Diagnostic_procedure O O O
25,"Subsequently , a 40 mm pneumatic dilatation balloon ( Rigiflex ® , Boston Scientific ) , normally used in achalasia patients , was inserted over the guide wire and inflated just above the container ( Figure 2 ) .",O O O O O O O B-Distance Distance I-Distance Distance B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O O O O O O O B-Coreference Coreference O O O O O O O O O
26,"For safety purposes , the sigmoidoscope was reintroduced alongside the catheter of the balloon to allow endoscopic visual control of the distal end of the container in the rectum .",O O O O O O O O O O O B-Diagnostic_procedure Diagnostic_procedure O O O O O O O O O O O O O O B-Coreference Coreference O O O O O O O O O O O O O O O O O O O O O O B-Coreference Coreference O O O O B-Biological_structure Biological_structure O
27,"Gentle traction was exerted on the balloon catheter , and the container was successfully removed under fluoroscopic and endoscopic control ( Figure 3 ) .",O O O O O O O O O O O O O B-Coreference Coreference O O O O O O O O B-Coreference Coreference O O B-Lab_value Lab_value B-Therapeutic_procedure Therapeutic_procedure O O B-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description O O O O O O O O O
28,"A 28 - year - old woman was referred with a 4 - week history of continuous , moderate right upper quadrant pain associated with jaundice , as well as weight loss ( 10 kg over 3 months ) and a liver mass identified by ultrasonography .",O O O B-Age Age I-Age Age I-Age Age I-Age Age I-Age Age B-Sex Sex O O B-Clinical_event Clinical_event O O O O B-Duration Duration I-Duration Duration I-Duration Duration O O O O B-Detailed_description Detailed_description O O B-Severity Severity B-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure B-Sign_symptom Sign_symptom O O O O B-Sign_symptom Sign_symptom O O O O O O O O B-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom O O B-Lab_value Lab_value I-Lab_value Lab_value O O B-Duration Duration I-Duration Duration O O O O O O B-Biological_structure Biological_structure B-Sign_symptom Sign_symptom O O O O B-Diagnostic_procedure Diagnostic_procedure O
29,The pain sensation seemed different from previous colicky attacks the patient had experienced before she underwent laparoscopic cholecystectomy 7 years previously .,O O O B-Coreference Coreference I-Coreference Coreference O O B-Lab_value Lab_value O O O O B-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom O O O O O O O O O O O O O O B-Detailed_description Detailed_description B-Therapeutic_procedure Therapeutic_procedure B-Date Date I-Date Date I-Date Date O
30,"On physical examination , she was obese ( body mass index 37.8 ) , with icterus noted over the conjunctivae , oral mucosa and skin .",O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O O O B-Sign_symptom Sign_symptom O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure B-Lab_value Lab_value O O O O O O B-Sign_symptom Sign_symptom O O O O O O B-Biological_structure Biological_structure O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure O O B-Biological_structure Biological_structure O
31,"Imaging modalities included computed tomography ( CT ) , positron emission tomography ( PET ) and endoscopic cholangiopancreatography ( ERCP ) ( Fig. 1 ) .",O O O O O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Diagnostic_procedure Diagnostic_procedure O O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Diagnostic_procedure Diagnostic_procedure O O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Diagnostic_procedure Diagnostic_procedure O O O O O O O O O O O
32,The patient underwent exploratory laparotomy .,O O O O O O O B-Detailed_description Detailed_description B-Diagnostic_procedure Diagnostic_procedure O
33,"Intraoperative ultrasonography revealed a cystic lesion measuring 3.5 2.5 cm within the central portion of the liver , anterior to the porta hepatis .",O B-Detailed_description Detailed_description B-Diagnostic_procedure Diagnostic_procedure O O O O B-Detailed_description Detailed_description B-Sign_symptom Sign_symptom O O B-Area Area I-Area Area I-Area Area O O O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure O
34,"Intraoperative cholangiography demonstrated an extensive stricture obliterating the left hepatic duct , with partial occlusion of the right hepatic duct .",O B-Detailed_description Detailed_description B-Diagnostic_procedure Diagnostic_procedure O O O O B-Severity Severity B-Sign_symptom Sign_symptom O O O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure O O O O B-Severity Severity B-Sign_symptom Sign_symptom O O O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure O
35,An extended left lobectomy was done en bloc with the biliary confluence .,O O O B-Detailed_description Detailed_description I-Detailed_description Detailed_description B-Therapeutic_procedure Therapeutic_procedure O O O O B-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description O
36,"On frozen - section examination , all margins of the excised specimen were free of malignant cells .",O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value O
37,Reconstruction was performed with a Roux - en - Y cholangiojejunostomy to 3 second bile duct radicals in the right side .,O B-Therapeutic_procedure Therapeutic_procedure O O O O O O O O B-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description B-Therapeutic_procedure Therapeutic_procedure O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure O O O O B-Detailed_description Detailed_description I-Detailed_description Detailed_description O
38,"Intraoperatively , radiotherapy was applied to the surgical margins .",O O O O O B-Therapeutic_procedure Therapeutic_procedure O O O O O O O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure O
39,"After this , the patient underwent 6 weeks of image - guided external beam radiation centred on the resection field labelled at surgery .",O O O O O O O O O O O O O B-Duration Duration I-Duration Duration O O B-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description B-Therapeutic_procedure Therapeutic_procedure O O O O O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure O O O O O O O
40,"The final pathology described this tumour as an infiltrating , moderately differentiated squamous cell carcinoma associated with severe dysplasia of the bile - duct epithelium ( Fig. 2 ) .",O O O O O O O O O O O O O O O O O B-Detailed_description Detailed_description O O B-Lab_value Lab_value B-Detailed_description Detailed_description B-Disease_disorder Disease_disorder I-Disease_disorder Disease_disorder I-Disease_disorder Disease_disorder O O O O B-Severity Severity B-Disease_disorder Disease_disorder O O O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure O O O O O O O O O
41,"The patient recovered without complications and was doing well 18 months after the initial surgical procedure , with an unremarkable CT scan .",O O O O O B-Sign_symptom Sign_symptom O O B-Sign_symptom Sign_symptom O O O O B-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom B-Date Date I-Date Date I-Date Date O O O O O O O O O O O O O O B-Lab_value Lab_value B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O
42,An 18 - year - old male was diagnosed with attention - deficit hyperactivity disorder ( ADHD ) in 2005 .,O O O B-Age Age I-Age Age I-Age Age I-Age Age I-Age Age B-Sex Sex O O O O O O B-Disease_disorder Disease_disorder I-Disease_disorder Disease_disorder I-Disease_disorder Disease_disorder I-Disease_disorder Disease_disorder I-Disease_disorder Disease_disorder O O B-Disease_disorder Disease_disorder O O O O B-Date Date O
43,He was overweight with a body mass index ( BMI ) of 40 .,O O O O O B-History History O O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Diagnostic_procedure Diagnostic_procedure O O O O B-Lab_value Lab_value O
44,He was started on quetiapine fumarate ( Seroquel ® ) 900 mg daily in April 2005 and methylphenidate ( Concerta ® ) 54 mg daily in September 2005 .,O O O O O O O O O B-Medication Medication I-Medication Medication I-Medication Medication I-Medication Medication I-Medication Medication I-Medication Medication B-Dosage Dosage I-Dosage Dosage I-Dosage Dosage O O B-Date Date I-Date Date O O B-Medication Medication I-Medication Medication I-Medication Medication I-Medication Medication I-Medication Medication B-Dosage Dosage I-Dosage Dosage I-Dosage Dosage O O B-Date Date I-Date Date O
45,"In the beginning of August 2006 he was admitted to his local hospital with severe dyspnoea , tachypnea , tachycardia , and cyanosis .",O O O O O B-Date Date I-Date Date I-Date Date I-Date Date O O O O B-Clinical_event Clinical_event O O O O B-Nonbiological_location Nonbiological_location I-Nonbiological_location Nonbiological_location O O B-Severity Severity B-Sign_symptom Sign_symptom O O B-Sign_symptom Sign_symptom O O B-Sign_symptom Sign_symptom O O O O B-Sign_symptom Sign_symptom O
46,"On admission the blood pressure was 120/80 mmHg , and the arterial blood gas revealed a pH of 7.45 , pCO2 of 3.55 kPa , paO2 of 7.76 kPa , and BE of −5.1 mmol / l. C - reactive protein was not elevated .",O O O B-Clinical_event Clinical_event O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value I-Lab_value Lab_value O O O O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O B-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value O O B-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value I-Lab_value Lab_value O O B-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value I-Lab_value Lab_value O O O O B-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value I-Lab_value Lab_value O
47,The chest X-ray showed an enlarged heart .,O O O B-Biological_structure Biological_structure B-Diagnostic_procedure Diagnostic_procedure O O O O B-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom O
48,He developed hemoptysis and was treated with unfractionated heparin in suspicion of pulmonary embolism .,O O O O O B-Sign_symptom Sign_symptom O O O O O O O O B-Detailed_description Detailed_description B-Medication Medication O O O O O O B-Biological_structure Biological_structure B-Sign_symptom Sign_symptom O
49,He subsequently developed cardiogenic shock and was treated with vasoactive drugs .,O O O O O O O B-Disease_disorder Disease_disorder I-Disease_disorder Disease_disorder O O O O O O O O B-Medication Medication I-Medication Medication O
50,In spite of the treatment he became oliguric and his liver enzymes were rising .,O O O O O O O O O O O O O O O B-Sign_symptom Sign_symptom O O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value O
51,He was referred to our hospital for further treatment .,O O O O O B-Clinical_event Clinical_event O O O O B-Nonbiological_location Nonbiological_location O O O O O O O
52,"On admission the blood pressure was 90/60 mmHg , despite infusion with noradrenaline .",O O O B-Clinical_event Clinical_event O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value I-Lab_value Lab_value O O O O B-Administration Administration O O B-Medication Medication O
53,His heart rate was 130 / minute and his temperature was 38.4 °C .,O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value O O O O B-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value I-Lab_value Lab_value O
54,A thoracic computed tomography scan did not show pulmonary embolism .,O O O B-Biological_structure Biological_structure B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure B-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom O
55,Echocardiography revealed biventricular failure and left ventricular end diastolic diameter was 7 cm .,O B-Diagnostic_procedure Diagnostic_procedure O O B-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Distance Distance I-Distance Distance O
56,The left ventricle was severely hypokinetic with an ejection fraction ( EF ) of 20 % – 25 % .,O O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure O O B-Severity Severity B-Lab_value Lab_value O O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Diagnostic_procedure Diagnostic_procedure O O O O B-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value O
57,"The left ventricular end diastolic pressure was markedly elevated , and there was a moderate mitral regurgitation .",O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O B-Lab_value Lab_value O O O O O O O O O O B-Lab_value Lab_value B-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom O
58,Intermittent hemodialysis was initiated .,O B-Detailed_description Detailed_description B-Therapeutic_procedure Therapeutic_procedure O O O O O
59,"His liver function improved slightly , but despite dialysis the renal function deteriorated with increasing creatinine values .",O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure B-Lab_value Lab_value B-Severity Severity O O O O O O B-Coreference Coreference O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure B-Lab_value Lab_value O O B-Lab_value Lab_value B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O
60,After three days there was a further worsening of the left ventricular systolic function with an ejection fraction of 10 % – 12 % and marked pulmonary hypertension with systolic pulmonary pressure estimated to 30 mmHg .,O B-Date Date I-Date Date I-Date Date O O O O O O O O B-Lab_value Lab_value O O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value O O O O B-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O B-Lab_value Lab_value I-Lab_value Lab_value O
61,The clinical picture resembled dilated cardiomyopathy with low output failure causing renal and liver failure .,O O O O O O O O O B-Detailed_description Detailed_description B-Disease_disorder Disease_disorder O O B-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom O O B-Biological_structure Biological_structure O O B-Biological_structure Biological_structure B-Sign_symptom Sign_symptom O
62,We suspected drug - induced cardiomyopathy and methylphenidate and quetiapine fumarate were discontinued .,O O O O O B-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description B-Coreference Coreference O O B-Medication Medication O O B-Medication Medication I-Medication Medication O O O O O
63,"Screening for infectious pathogens , immunological markers , and iron or amyloid deposition were all negative .",O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O B-Diagnostic_procedure Diagnostic_procedure O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O B-Lab_value Lab_value O
64,"After three days he was transferred to the National Hospital ( Rikshospitalet , Oslo ) with ongoing noradrenaline and dobutamine infusions .",O B-Date Date I-Date Date I-Date Date O O O O B-Clinical_event Clinical_event O O O O B-Nonbiological_location Nonbiological_location I-Nonbiological_location Nonbiological_location I-Nonbiological_location Nonbiological_location I-Nonbiological_location Nonbiological_location I-Nonbiological_location Nonbiological_location I-Nonbiological_location Nonbiological_location I-Nonbiological_location Nonbiological_location O O O O B-Medication Medication O O B-Medication Medication B-Administration Administration O
